Feedback_ID,Feedback_Text,Sentiment,Category,Internship_Duration_Months,Department,Overall_Rating,Would_Recommend
INT0286,"Overall, I got occasional guidance from senior staff, though it wasn't consistent week to week. Hopefully this helps improve the program.",Neutral,Mentorship,1,Business Development,3,No
INT0287,"To be fair, the overall environment felt professional but not stiff, which suited me well. Just my two cents.",Positive,Work Environment,4,Finance,5,Yes
INT0288,"To be fair, there wasn't a dedicated career development component, but I picked up a few useful tips along the way and I got a general sense of the industry, though not much specific career guidance.",Neutral,Career Development,2,Software Development,4,Maybe
INT0289,"In my experience, the onboarding was so rushed that I still had questions about basic tools weeks later and the training materials were outdated and didn't match the tools we actually used day to day. That's just my honest take.",Negative,Training,6,Human Resources,1,No
INT0290,"All things considered, seeing how the full-time employees approached their work helped me set realistic career goals. On top of that, workload was about average, nothing that felt unreasonable but not exactly relaxed either.",Positive,Career Development,2,Software Development,5,Yes
INT0291,"Overall, the tasks assigned to me didn't match the job description at all.",Negative,Tasks,1,Finance,2,No
INT0292,"For the most part, I liked that the company trusted interns enough to work flexible hours when needed. Just my two cents.",Positive,Work Environment,5,Web Development,4,No
INT0293,"I liked that the company trusted interns enough to work flexible hours when needed. That said, there were learning opportunities here and there, but nothing that felt especially deep. Hopefully this helps improve the program.",Positive,Work Environment,3,Marketing,5,Yes
INT0294,"For the most part, career advice came up occasionally in conversations but wasn't a structured part of the program.",Neutral,Career Development,1,Software Development,3,Yes
INT0295,"In my experience, I appreciated that training wasn't rushed, we actually had time to practice before doing real work and the onboarding sessions covered exactly what I needed to get started without wasting time. That's just my honest take.",Positive,Training,5,Human Resources,4,Yes
INT0296,"By the end of the internship, tasks were varied enough that I never felt bored during the day. That's just my honest take.",Positive,Tasks,4,Machine Learning,5,Maybe
INT0297,"Throughout the program, the work I did often felt like busywork rather than anything that mattered to the team. I wanted to share this feedback for future improvement.",Negative,Tasks,2,Machine Learning,2,No
INT0298,"Honestly, there was no real effort to help interns think about next steps or career planning. Hopefully this helps improve the program.",Negative,Career Development,5,Human Resources,2,Maybe
INT0299,"Overall, the office had a comfortable, low-pressure atmosphere that made it easy to concentrate. I liked that the company trusted interns enough to work flexible hours when needed. That said, I picked up some practical skills, though the internship leaned more toward repetition than discovery. Just my two cents.",Positive,Work Environment,3,Human Resources,4,Yes
INT0300,"If I'm being honest, I was often given more tasks than I could realistically finish within normal hours. That said, everyone's experience can vary.",Negative,Workload,2,Business Development,1,No
INT0301,"From my perspective, I sat through hours of generic training videos that had nothing to do with my actual role.",Negative,Training,4,Web Development,2,No
INT0302,"By the end of the internship, I expected to pick up new technical skills, but the tasks never really required them and the internship offered very little in terms of skill development, mostly just data entry-type work.",Negative,Learning,3,Software Development,1,No
INT0303,"From my perspective, workload was about average, nothing that felt unreasonable but not exactly relaxed either and it was manageable most of the time, though a couple of deadlines felt a bit tight. Meanwhile, nothing stood out about the environment, it was just a typical corporate setup. I wanted to share this feedback for future improvement.",Neutral,Workload,1,Machine Learning,3,Maybe
INT0304,"Overall, we had regular meetings, but a lot of the important details still got lost between teams.",Neutral,Communication,4,Business Development,2,Maybe
INT0305,"In my experience, the work environment was ordinary, similar to what I expected from an office internship. Additionally, there were learning opportunities here and there, but nothing that felt especially deep.",Neutral,Work Environment,6,Web Development,3,Yes
INT0306,"From my perspective, the office felt disorganized, with unclear seating and outdated equipment for interns. That said, the training materials were outdated and didn't match the tools we actually used day to day. Hopefully this helps improve the program.",Negative,Work Environment,3,Business Development,1,No
INT0307,"Throughout the program, resources like laptops and software licenses took weeks to sort out, which was frustrating. Hopefully this helps improve the program.",Negative,Work Environment,6,Business Development,1,Maybe
INT0308,"If I'm being honest, the office felt disorganized, with unclear seating and outdated equipment for interns. I wanted to share this feedback for future improvement.",Negative,Work Environment,3,Machine Learning,1,Yes
INT0309,I walked away with a much better understanding of how production systems actually work. Just my two cents.,Positive,Learning,4,Web Development,3,Yes
INT0310,"During my time here, the workload picked up so much toward the end that I had to work late several nights. I was often given more tasks than I could realistically finish within normal hours. I wanted to share this feedback for future improvement.",Negative,Workload,4,Marketing,1,No
INT0311,"To be fair, my coworkers were always willing to jump on a call and help troubleshoot with me. Additionally, seeing how the full-time employees approached their work helped me set realistic career goals. I wanted to share this feedback for future improvement.",Positive,Team Environment,2,Data Science,4,Yes
INT0312,"All things considered, there wasn't a dedicated career development component, but I picked up a few useful tips along the way and career advice came up occasionally in conversations but wasn't a structured part of the program.",Neutral,Career Development,2,Artificial Intelligence,4,Yes
INT0313,"Honestly, there was a real disconnect between what one manager said and what another expected. Also, the office felt disorganized, with unclear seating and outdated equipment for interns.",Negative,Communication,4,Software Development,1,Maybe
INT0314,I left without much clarity on what skills I should focus on for my career. Others might have had a different experience though.,Negative,Career Development,1,Machine Learning,1,No
INT0315,"In my experience, whenever priorities shifted, someone made sure to explain why, which I really appreciated. Updates about project changes always reached me quickly, so I rarely felt out of the loop. Also, the onboarding sessions covered exactly what I needed to get started without wasting time. I wanted to share this feedback for future improvement.",Positive,Communication,4,Software Development,5,Yes
INT0316,"So far, I got a general sense of the industry, though not much specific career guidance and career advice came up occasionally in conversations but wasn't a structured part of the program. Others might have had a different experience though.",Neutral,Career Development,6,Artificial Intelligence,3,Maybe
INT0317,"During my time here, whenever priorities shifted, someone made sure to explain why, which I really appreciated. Others might have had a different experience though.",Positive,Communication,1,Software Development,5,Yes
INT0318,"The team felt fragmented, with different people rarely talking to each other. On top of that, I felt constantly behind because new tasks kept piling up before I finished the last ones.",Negative,Team Environment,5,Finance,2,Maybe
INT0319,"For the most part, we had regular meetings, but a lot of the important details still got lost between teams.",Neutral,Communication,1,Human Resources,3,Maybe
INT0320,"During my time here, the team communicated fine for day-to-day tasks but bigger updates sometimes came late. That said, it was a fairly average internship, neither a highlight nor a disappointment.",Neutral,Communication,6,Marketing,3,Yes
INT0321,"All things considered, the one-on-one sessions with my mentor were probably the most valuable part of the internship.",Positive,Mentorship,5,Machine Learning,5,Yes
INT0322,"If I'm being honest, I got genuinely useful advice on my resume and how to prepare for future interviews. Meanwhile, I walked away with a much better understanding of how production systems actually work. Just my two cents.",Positive,Career Development,1,Business Development,4,Yes
INT0323,"During my time here, I mostly had to figure things out on my own since nobody had time to explain anything. I went weeks without hearing from my mentor, which made it hard to know if I was on track. That said, I came in hoping to learn a specific tool, but never actually got the chance to use it. Hopefully this helps improve the program.",Negative,Mentorship,5,Machine Learning,2,Maybe
INT0324,"The training covered the basics adequately, though it felt a bit generic.",Neutral,Training,2,Machine Learning,4,Yes
INT0325,"If I'm being honest, this internship gave me a much clearer picture of what career path I actually want to pursue. Also, the team culture was relaxed but still focused, which made coming to work genuinely enjoyable.",Positive,Career Development,5,Data Science,3,Maybe
INT0326,"There wasn't a dedicated career development component, but I picked up a few useful tips along the way. Others might have had a different experience though.",Neutral,Career Development,5,Marketing,4,Maybe
INT0327,"Overall, having someone senior review my work and explain their thinking made a huge difference. The one-on-one sessions with my mentor were probably the most valuable part of the internship. On top of that, I picked up skills here that I doubt I would have learned this fast in a classroom.",Positive,Mentorship,5,Marketing,4,Yes
INT0328,"If I'm being honest, I was rarely given tasks that felt connected to any bigger project or goal. I kept doing the same small task over and over with little variation for weeks. Just my two cents.",Negative,Tasks,4,Data Science,1,Maybe
INT0329,"From my perspective, coworkers were nice enough, though most interactions stayed strictly work related. The team was polite but mostly kept to themselves, so bonding took a while. Others might have had a different experience though.",Neutral,Team Environment,5,Human Resources,4,Maybe
INT0330,"If I'm being honest, there was noticeable tension between some team members that made meetings uncomfortable and I barely got to interact with the wider team beyond my direct supervisor. Additionally, my overall take is mixed, there were things I liked and things that could be better. Just my two cents.",Negative,Team Environment,4,Artificial Intelligence,2,No
INT0331,"For the most part, I finished the internship feeling like I didn't get much value out of the time I put in. On top of that, the workload fluctuated a lot, some weeks were packed and others were almost too quiet.",Negative,Overall Experience,6,Web Development,3,No
INT0332,"In my experience, overall it was an okay experience, some good parts and some parts I'd change and my overall take is mixed, there were things I liked and things that could be better. Additionally, onboarding was okay, some sessions were useful and others felt like they could've been an email.",Neutral,Overall Experience,3,Data Science,3,Maybe
INT0333,"Overall, the tasks were fine, a mix of interesting bits and some routine administrative work. I worked on a reasonable variety of tasks, though none of them felt particularly high-impact. Meanwhile, the setup was fine, standard desks and standard hours, nothing remarkable either way. That said, everyone's experience can vary.",Neutral,Tasks,1,Marketing,2,Yes
INT0334,"Overall, the workshops during the first week gave me a solid foundation for the rest of the internship.",Positive,Training,6,Artificial Intelligence,5,Yes
INT0335,"In my experience, I was assigned a mentor but our interactions were mostly limited to quick status updates. Meanwhile, it was a fairly average internship, neither a highlight nor a disappointment.",Neutral,Mentorship,1,Marketing,4,Maybe
INT0336,"By the end of the internship, overall this internship fell short of what I was expecting when I accepted the offer and I finished the internship feeling like I didn't get much value out of the time I put in.",Negative,Overall Experience,1,Finance,2,Yes
INT0337,"Throughout the program, the team felt fragmented, with different people rarely talking to each other.",Negative,Team Environment,2,Finance,2,No
INT0338,"In my experience, I finished the internship feeling like I didn't get much value out of the time I put in.",Negative,Overall Experience,1,Web Development,2,Maybe
INT0339,"Throughout the program, overall this internship fell short of what I was expecting when I accepted the offer. Others might have had a different experience though.",Negative,Overall Experience,3,Software Development,1,No
INT0340,"From my perspective, I got occasional guidance from senior staff, though it wasn't consistent week to week. That said, everyone's experience can vary.",Neutral,Mentorship,2,Finance,2,No
INT0341,The work I did often felt like busywork rather than anything that mattered to the team. I was rarely given tasks that felt connected to any bigger project or goal.,Negative,Tasks,2,Machine Learning,3,No
INT0342,"So far, the mentorship felt fine, not particularly memorable, just standard check-ins. Just my two cents.",Neutral,Mentorship,4,Artificial Intelligence,3,Maybe
INT0343,"To be fair, the assignments were challenging without being overwhelming, which kept me engaged. Hopefully this helps improve the program.",Positive,Tasks,4,Machine Learning,5,Yes
INT0344,"To be fair, everyone on the team was friendly and made me feel included from the very first day and my coworkers were always willing to jump on a call and help troubleshoot with me. Meanwhile, workload was about average, nothing that felt unreasonable but not exactly relaxed either.",Positive,Team Environment,1,Data Science,4,Yes
INT0345,"Overall, the onboarding sessions covered exactly what I needed to get started without wasting time. Meanwhile, there wasn't a dedicated career development component, but I picked up a few useful tips along the way. Others might have had a different experience though.",Positive,Training,4,Business Development,3,Yes
INT0346,"Looking back, nobody really discussed growth opportunities or what a future role here might look like and there was no real effort to help interns think about next steps or career planning. That said, looking back, I wouldn't say this was a particularly rewarding experience.",Negative,Career Development,3,Human Resources,2,Maybe
INT0347,"By the end of the internship, the office felt disorganized, with unclear seating and outdated equipment for interns.",Negative,Work Environment,5,Web Development,1,Maybe
INT0348,"In my experience, the team was polite but mostly kept to themselves, so bonding took a while and the environment was fine, not particularly close-knit but not unfriendly either. I wanted to share this feedback for future improvement.",Neutral,Team Environment,2,Marketing,4,No
INT0349,"So far, the training was standard, nothing outstanding but nothing missing either. On top of that, the learning curve was gentle, maybe too gentle for someone who wanted more of a challenge. Hopefully this helps improve the program.",Neutral,Training,2,Marketing,4,No
INT0350,"For the most part, the learning curve was gentle, maybe too gentle for someone who wanted more of a challenge. There were learning opportunities here and there, but nothing that felt especially deep. On top of that, overall it was an okay experience, some good parts and some parts I'd change.",Neutral,Learning,3,Marketing,4,Maybe
INT0351,"In my experience, the workload fluctuated a lot, some weeks were packed and others were almost too quiet. Meanwhile, I picked up some practical skills, though the internship leaned more toward repetition than discovery. That said, everyone's experience can vary.",Neutral,Workload,2,Software Development,3,Maybe
INT0352,"All things considered, nobody really discussed growth opportunities or what a future role here might look like. Others might have had a different experience though.",Negative,Career Development,2,Marketing,2,Maybe
INT0353,Most of my days were spent on repetitive data entry that didn't require much thought. That's just my honest take.,Negative,Tasks,4,Software Development,2,No
INT0354,"From my perspective, some days had engaging projects, others were mostly just formatting spreadsheets. That said, everyone's experience can vary.",Neutral,Tasks,4,Human Resources,4,No
INT0355,"By the end of the internship, everyone on the team was friendly and made me feel included from the very first day. Others might have had a different experience though.",Positive,Team Environment,4,Business Development,5,Maybe
INT0356,"My mentor was available when needed but we didn't have a very structured relationship. Some weeks I got great input from my supervisor, other weeks I barely heard from them.",Neutral,Mentorship,4,Artificial Intelligence,3,Maybe
INT0357,"So far, mentorship existed on paper but in practice it depended a lot on how busy people were. That's just my honest take.",Neutral,Mentorship,4,Machine Learning,3,Maybe
INT0358,"From my perspective, I went weeks without hearing from my mentor, which made it hard to know if I was on track. My assigned mentor was too busy with their own work to actually guide me.",Negative,Mentorship,1,Machine Learning,2,No
INT0359,"From my perspective, there was a lot of pressure in the air that made the environment feel stressful most days.",Negative,Work Environment,2,Finance,2,No
INT0360,"Overall, most of my days were spent on repetitive data entry that didn't require much thought. Also, I didn't feel like I learned much beyond what I already knew coming in. Just my two cents.",Negative,Tasks,6,Human Resources,1,No
INT0361,"The work environment was ordinary, similar to what I expected from an office internship. Nothing stood out about the environment, it was just a typical corporate setup.",Neutral,Work Environment,5,Machine Learning,2,Yes
INT0362,"Honestly, having someone senior review my work and explain their thinking made a huge difference. Also, the office had a comfortable, low-pressure atmosphere that made it easy to concentrate.",Positive,Mentorship,1,Web Development,3,Yes
INT0363,"In my experience, this internship gave me a much clearer picture of what career path I actually want to pursue. Seeing how the full-time employees approached their work helped me set realistic career goals.",Positive,Career Development,4,Finance,4,Yes
INT0364,"To be fair, overall it was an okay experience, some good parts and some parts I'd change. That said, everyone's experience can vary.",Neutral,Overall Experience,6,Business Development,4,Yes
INT0365,"I learned a few new things, but a lot of it was stuff I already knew from school.",Neutral,Learning,1,Web Development,3,Yes
INT0366,"Looking back, we had regular meetings, but a lot of the important details still got lost between teams. Meanwhile, the training was standard, nothing outstanding but nothing missing either. Just my two cents.",Neutral,Communication,6,Human Resources,4,Yes
INT0367,The pace was reasonable and left room for me to ask questions without falling behind. I wanted to share this feedback for future improvement.,Positive,Workload,5,Data Science,4,Yes
INT0368,"During my time here, workload was about average, nothing that felt unreasonable but not exactly relaxed either.",Neutral,Workload,5,Artificial Intelligence,2,Maybe
INT0369,"So far, there was a lot of pressure in the air that made the environment feel stressful most days. I wanted to share this feedback for future improvement.",Negative,Work Environment,5,Human Resources,1,No
INT0370,"All things considered, overall it was an okay experience, some good parts and some parts I'd change. Hopefully this helps improve the program.",Neutral,Overall Experience,6,Finance,3,Yes
INT0371,"Overall, looking back, I'm glad I chose this internship over the other offers I had. That said, the tasks were fine, a mix of interesting bits and some routine administrative work.",Positive,Overall Experience,5,Marketing,4,Yes
INT0372,"So far, the work environment was ordinary, similar to what I expected from an office internship. The setup was fine, standard desks and standard hours, nothing remarkable either way. That's just my honest take.",Neutral,Work Environment,3,Web Development,3,Maybe
INT0373,"Looking back, the lack of guidance meant I spent a lot of time unsure whether my work was even useful. Also, nobody really discussed growth opportunities or what a future role here might look like.",Negative,Mentorship,3,Human Resources,3,No
INT0374,"Throughout the program, career advice came up occasionally in conversations but wasn't a structured part of the program. That said, I picked up some practical skills, though the internship leaned more toward repetition than discovery.",Neutral,Career Development,5,Web Development,3,Maybe
INT0375,"For the most part, the office felt disorganized, with unclear seating and outdated equipment for interns and resources like laptops and software licenses took weeks to sort out, which was frustrating. Others might have had a different experience though.",Negative,Work Environment,2,Web Development,2,Maybe
INT0376,"Looking back, I often felt like an outsider since most conversations happened without including interns and there was noticeable tension between some team members that made meetings uncomfortable. That said, everyone's experience can vary.",Negative,Team Environment,3,Human Resources,2,Maybe
INT0377,"So far, important updates about deadlines sometimes reached me only after they had already passed.",Negative,Communication,5,Web Development,1,No
INT0378,I had a mentor who genuinely cared about my growth and checked in regularly. Just my two cents.,Positive,Mentorship,5,Machine Learning,4,Maybe
INT0379,"During my time here, nothing stood out about the environment, it was just a typical corporate setup. On top of that, Slack messages got answered most of the time, though not always the same day.",Neutral,Work Environment,4,Marketing,3,Maybe
INT0380,"My mentor always made time to answer questions, even when things got busy. Others might have had a different experience though.",Positive,Mentorship,4,Artificial Intelligence,4,Yes
INT0381,"During my time here, deadlines were frequently unrealistic given how much other work was already on my plate. Others might have had a different experience though.",Negative,Workload,2,Software Development,1,No
INT0382,"Overall, there was no real effort to help interns think about next steps or career planning. I left without much clarity on what skills I should focus on for my career. Meanwhile, workload was about average, nothing that felt unreasonable but not exactly relaxed either.",Negative,Career Development,5,Human Resources,1,No
INT0383,"I never felt overwhelmed, and when things did get busy, my manager adjusted deadlines accordingly. The workload was manageable, which let me actually focus on doing good work instead of rushing. On top of that, everyone on the team was friendly and made me feel included from the very first day. Just my two cents.",Positive,Workload,1,Data Science,4,Yes
INT0384,"So far, I barely got to interact with the wider team beyond my direct supervisor. Others might have had a different experience though.",Negative,Team Environment,2,Business Development,1,No
INT0385,"From my perspective, there was no real effort to help interns think about next steps or career planning and nobody really discussed growth opportunities or what a future role here might look like.",Negative,Career Development,6,Finance,2,No
INT0386,"For the most part, I walked away with a much better understanding of how production systems actually work and getting to see how decisions are made in real projects taught me more than any lecture. Others might have had a different experience though.",Positive,Learning,1,Data Science,4,Yes
INT0387,"Honestly, there wasn't a dedicated career development component, but I picked up a few useful tips along the way. Hopefully this helps improve the program.",Neutral,Career Development,1,Marketing,4,Maybe
INT0388,"By the end of the internship, the onboarding was so rushed that I still had questions about basic tools weeks later and there was almost no formal training, I was expected to already know things I'd never used. That said, everyone's experience can vary.",Negative,Training,5,Software Development,2,No
INT0389,"For the most part, coworkers were nice enough, though most interactions stayed strictly work related. Meanwhile, there wasn't a dedicated career development component, but I picked up a few useful tips along the way. Hopefully this helps improve the program.",Neutral,Team Environment,6,Software Development,2,Maybe
INT0390,"From my perspective, overall this internship fell short of what I was expecting when I accepted the offer. Others might have had a different experience though.",Negative,Overall Experience,5,Data Science,2,Maybe
INT0391,"By the end of the internship, the team felt fragmented, with different people rarely talking to each other. Others might have had a different experience though.",Negative,Team Environment,4,Artificial Intelligence,1,No
INT0392,"From my perspective, overall this internship exceeded what I expected going in and I'd recommend it to a friend and looking back, I'm glad I chose this internship over the other offers I had. Hopefully this helps improve the program.",Positive,Overall Experience,5,Finance,4,Yes
INT0393,"Throughout the program, I appreciated that training wasn't rushed, we actually had time to practice before doing real work. Others might have had a different experience though.",Positive,Training,1,Artificial Intelligence,5,Yes
INT0394,I picked up skills here that I doubt I would have learned this fast in a classroom.,Positive,Learning,6,Business Development,5,Yes
INT0395,"By the end of the internship, I never felt overwhelmed, and when things did get busy, my manager adjusted deadlines accordingly. Others might have had a different experience though.",Positive,Workload,6,Marketing,4,Yes
INT0396,"Honestly, I was given real ownership over a feature, which made the work feel worthwhile. I appreciated that my work actually got used by the team instead of sitting in a drawer. That said, I'd call this internship a genuinely valuable experience that shaped how I think about work. That's just my honest take.",Positive,Tasks,6,Machine Learning,4,Yes
INT0397,"Throughout the program, the mentorship felt fine, not particularly memorable, just standard check-ins.",Neutral,Mentorship,1,Machine Learning,3,Maybe
INT0398,"From my perspective, nobody really discussed growth opportunities or what a future role here might look like and I left without much clarity on what skills I should focus on for my career. Hopefully this helps improve the program.",Negative,Career Development,4,Marketing,1,Maybe
INT0399,"In my experience, my overall take is mixed, there were things I liked and things that could be better. Hopefully this helps improve the program.",Neutral,Overall Experience,3,Marketing,4,Maybe
INT0400,"If I'm being honest, I was assigned a mentor but our interactions were mostly limited to quick status updates.",Neutral,Mentorship,5,Finance,4,Yes
INT0401,There was a lot of pressure in the air that made the environment feel stressful most days.,Negative,Work Environment,4,Data Science,2,No
INT0402,"From my perspective, looking back, I'm glad I chose this internship over the other offers I had. That said, the onboarding sessions covered exactly what I needed to get started without wasting time. Hopefully this helps improve the program.",Positive,Overall Experience,4,Human Resources,4,Maybe
INT0403,"All things considered, I never felt overwhelmed, and when things did get busy, my manager adjusted deadlines accordingly. Also, I appreciated that training wasn't rushed, we actually had time to practice before doing real work. That said, everyone's experience can vary.",Positive,Workload,2,Artificial Intelligence,5,Yes
INT0404,"Honestly, it was a fairly average internship, neither a highlight nor a disappointment. Hopefully this helps improve the program.",Neutral,Overall Experience,1,Web Development,3,Maybe
INT0405,"Looking back, the workload was manageable, which let me actually focus on doing good work instead of rushing. That said, everyone's experience can vary.",Positive,Workload,6,Machine Learning,5,Yes
INT0406,"Getting to see how decisions are made in real projects taught me more than any lecture. Additionally, the projects I worked on felt meaningful, not just busywork to fill the days.",Positive,Learning,5,Machine Learning,5,Yes
INT0407,"Looking back, I often felt like an outsider since most conversations happened without including interns.",Negative,Team Environment,5,Human Resources,1,Maybe
INT0408,"All things considered, we had regular meetings, but a lot of the important details still got lost between teams. That's just my honest take.",Neutral,Communication,4,Business Development,3,Maybe
INT0409,"For the most part, the team culture was relaxed but still focused, which made coming to work genuinely enjoyable. That said, there wasn't a dedicated career development component, but I picked up a few useful tips along the way. Hopefully this helps improve the program.",Positive,Team Environment,6,Artificial Intelligence,3,Yes
INT0410,"To be fair, the training was standard, nothing outstanding but nothing missing either. Others might have had a different experience though.",Neutral,Training,3,Web Development,4,Maybe
INT0411,"In my experience, I'd call this internship a genuinely valuable experience that shaped how I think about work. That said, everyone's experience can vary.",Positive,Overall Experience,2,Business Development,4,Yes
INT0412,"To be fair, the environment was fine, not particularly close-knit but not unfriendly either. Additionally, the setup was fine, standard desks and standard hours, nothing remarkable either way.",Neutral,Team Environment,1,Artificial Intelligence,3,Yes
INT0413,"Overall, overall this internship exceeded what I expected going in and I'd recommend it to a friend. Looking back, I'm glad I chose this internship over the other offers I had.",Positive,Overall Experience,2,Marketing,5,Maybe
INT0414,"To be fair, overall it was an okay experience, some good parts and some parts I'd change. That's just my honest take.",Neutral,Overall Experience,4,Data Science,3,No
INT0415,"For the most part, workload was about average, nothing that felt unreasonable but not exactly relaxed either. That's just my honest take.",Neutral,Workload,2,Data Science,3,Yes
INT0416,"During my time here, everyone on the team was friendly and made me feel included from the very first day. That said, the workload fluctuated a lot, some weeks were packed and others were almost too quiet. That said, everyone's experience can vary.",Positive,Team Environment,4,Machine Learning,5,Yes
INT0417,"Overall, the office had a comfortable, low-pressure atmosphere that made it easy to concentrate. Just my two cents.",Positive,Work Environment,6,Web Development,4,Yes
INT0418,"I'd call this internship a genuinely valuable experience that shaped how I think about work and looking back, I'm glad I chose this internship over the other offers I had. Also, career advice came up occasionally in conversations but wasn't a structured part of the program. I wanted to share this feedback for future improvement.",Positive,Overall Experience,6,Human Resources,5,Yes
INT0419,"There was a lot of pressure in the air that made the environment feel stressful most days and resources like laptops and software licenses took weeks to sort out, which was frustrating. Hopefully this helps improve the program.",Negative,Work Environment,4,Finance,1,No
INT0420,"I appreciated that training wasn't rushed, we actually had time to practice before doing real work. Others might have had a different experience though.",Positive,Training,5,Human Resources,3,Yes
INT0421,"By the end of the internship, I never felt overwhelmed, and when things did get busy, my manager adjusted deadlines accordingly and the workload was manageable, which let me actually focus on doing good work instead of rushing.",Positive,Workload,4,Data Science,5,Yes
INT0422,"All things considered, the team communicated fine for day-to-day tasks but bigger updates sometimes came late and we had regular meetings, but a lot of the important details still got lost between teams. On top of that, workload was about average, nothing that felt unreasonable but not exactly relaxed either. I wanted to share this feedback for future improvement.",Neutral,Communication,5,Web Development,3,No
INT0423,"Overall, I got a general sense of the industry, though not much specific career guidance. That said, the training covered the basics adequately, though it felt a bit generic.",Neutral,Career Development,6,Business Development,3,Maybe
INT0424,"So far, the learning curve was gentle, maybe too gentle for someone who wanted more of a challenge.",Neutral,Learning,4,Machine Learning,4,Yes
INT0425,"In my experience, whenever priorities shifted, someone made sure to explain why, which I really appreciated.",Positive,Communication,2,Marketing,4,Maybe
INT0426,"Honestly, the team was polite but mostly kept to themselves, so bonding took a while. Others might have had a different experience though.",Neutral,Team Environment,2,Artificial Intelligence,3,Maybe
INT0427,"Looking back, updates about project changes always reached me quickly, so I rarely felt out of the loop. Others might have had a different experience though.",Positive,Communication,5,Machine Learning,4,Maybe
INT0428,"By the end of the internship, I rarely got any real feedback from my supervisor beyond a quick 'looks good'.",Negative,Mentorship,1,Finance,1,Yes
INT0429,"Throughout the program, feedback on my work came promptly and was specific enough to actually act on. I never had to chase people for information, everything was communicated clearly upfront. Just my two cents.",Positive,Communication,2,Machine Learning,5,Yes
INT0430,"The team was polite but mostly kept to themselves, so bonding took a while. That said, everyone's experience can vary.",Neutral,Team Environment,2,Finance,3,Yes
INT0431,"If I'm being honest, I felt constantly behind because new tasks kept piling up before I finished the last ones. Meanwhile, the tasks were fine, a mix of interesting bits and some routine administrative work. Hopefully this helps improve the program.",Negative,Workload,5,Software Development,2,No
INT0432,"Looking back, the projects I worked on felt meaningful, not just busywork to fill the days. That said, the exposure to real datasets taught me more about data cleaning than any course did.",Positive,Tasks,6,Artificial Intelligence,3,Yes
INT0433,"Looking back, the work I did often felt like busywork rather than anything that mattered to the team. Also, the setup was fine, standard desks and standard hours, nothing remarkable either way.",Negative,Tasks,1,Finance,2,Maybe
INT0434,"For the most part, I appreciated that my work actually got used by the team instead of sitting in a drawer. Tasks were varied enough that I never felt bored during the day.",Positive,Tasks,3,Software Development,3,Yes
INT0435,"During my time here, I was given real ownership over a feature, which made the work feel worthwhile. On top of that, nothing stood out about the environment, it was just a typical corporate setup. That said, everyone's experience can vary.",Positive,Tasks,4,Machine Learning,4,Yes
INT0436,"Honestly, the work I did often felt like busywork rather than anything that mattered to the team. The tasks assigned to me didn't match the job description at all. Additionally, I learned a few new things, but a lot of it was stuff I already knew from school.",Negative,Tasks,4,Marketing,1,Maybe
INT0437,"Looking back, the workload picked up so much toward the end that I had to work late several nights. Deadlines were frequently unrealistic given how much other work was already on my plate. That said, everyone's experience can vary.",Negative,Workload,2,Data Science,1,No
INT0438,"For the most part, I kept doing the same small task over and over with little variation for weeks. The tasks assigned to me didn't match the job description at all. On top of that, there was no real effort to help interns think about next steps or career planning. I wanted to share this feedback for future improvement.",Negative,Tasks,5,Machine Learning,3,No
INT0439,Everyone on the team was friendly and made me feel included from the very first day. I wanted to share this feedback for future improvement.,Positive,Team Environment,5,Marketing,4,Yes
INT0440,"During my time here, whenever priorities shifted, someone made sure to explain why, which I really appreciated. That said, looking back, I'm glad I chose this internship over the other offers I had.",Positive,Communication,3,Web Development,4,No
INT0441,"The lack of guidance meant I spent a lot of time unsure whether my work was even useful. Meanwhile, resources like laptops and software licenses took weeks to sort out, which was frustrating. Just my two cents.",Negative,Mentorship,4,Machine Learning,3,No
INT0442,"The workshops during the first week gave me a solid foundation for the rest of the internship. I appreciated that training wasn't rushed, we actually had time to practice before doing real work. I wanted to share this feedback for future improvement.",Positive,Training,3,Business Development,3,Yes
INT0443,"If I'm being honest, the workload picked up so much toward the end that I had to work late several nights and deadlines were frequently unrealistic given how much other work was already on my plate. Meanwhile, the team felt fragmented, with different people rarely talking to each other.",Negative,Workload,3,Finance,2,No
INT0444,"During my time here, I learned to use version control properly for the first time, and it's already paying off. I picked up skills here that I doubt I would have learned this fast in a classroom.",Positive,Learning,2,Business Development,4,Yes
INT0445,"Overall this internship fell short of what I was expecting when I accepted the offer and I finished the internship feeling like I didn't get much value out of the time I put in. Additionally, I felt constantly behind because new tasks kept piling up before I finished the last ones.",Negative,Overall Experience,4,Finance,2,No
INT0446,Seeing how the full-time employees approached their work helped me set realistic career goals. I got genuinely useful advice on my resume and how to prepare for future interviews.,Positive,Career Development,4,Data Science,3,Maybe
INT0447,"During my time here, the workload fluctuated a lot, some weeks were packed and others were almost too quiet. On top of that, the team communicated fine for day-to-day tasks but bigger updates sometimes came late. Hopefully this helps improve the program.",Neutral,Workload,6,Artificial Intelligence,3,No
INT0448,"During my time here, there was a lot of pressure in the air that made the environment feel stressful most days. Additionally, there was no real effort to help interns think about next steps or career planning.",Negative,Work Environment,1,Software Development,2,No
